operation,concurrentSessions,batches,attempted,successful,failed,minMs,p50Ms,meanMs,p95Ms,maxMs,batchP50MeanMs,batchP50SdMs
search,10,3,30,30,0,14.18,41.77,39.93,58.35,60.37,41.91,21.31
search,25,3,75,75,0,29.17,80.77,77.37,99.69,104.95,82.88,8.29
search,50,3,150,150,0,29.63,115.55,104.19,129.9,135.12,112.09,8.6
search,75,3,225,225,0,43,126.05,119.61,168.27,176.81,128.31,19.31
search,100,3,300,300,0,38.7,122.67,118.08,157.3,163.91,124.77,3.7
release,10,3,30,30,0,36.75,49.35,50.26,60.98,61.7,50.96,4.43
release,25,3,75,75,0,28.12,80.19,77.55,94.25,96.32,80.77,9.48
release,50,3,150,150,0,28.06,99.68,97.05,116.46,119.92,101.1,3.56
release,75,3,225,225,0,40.27,122.08,115.49,153.27,158.75,124.58,14.56
release,100,3,300,300,0,48.95,154.28,139.27,181.26,188.19,154.36,2.97
submit,10,3,30,30,0,74.07,115.64,112.61,141.69,142.48,126.84,12.04
submit,25,3,75,75,0,112.03,151.09,157.91,181.04,216.88,150.86,0.98
submit,50,3,150,150,0,125.26,239.06,241.24,327.94,343.58,255.84,18.44
submit,75,3,225,225,0,175.66,332.77,323.28,445.66,482.36,330.57,12.51
submit,100,3,300,300,0,194.22,396.35,403.18,583.3,624.71,400.46,49.44
