operation,concurrentUsers,batches,attempted,successful,failed,minMs,p50Ms,meanMs,p95Ms,maxMs,batchP50MeanMs,batchP50SdMs
search,10,3,30,30,0,35.12,52.36,49.86,58.93,59.35,52.75,2.24
search,25,3,75,75,0,24.04,77.15,71.98,90.31,91.94,77.34,8.72
search,50,3,150,150,0,25.05,109.99,99.54,123.53,128.37,108.94,1.36
search,75,3,225,225,0,34.88,140.3,127.28,172.1,178.87,140.64,12.86
search,100,3,300,300,0,32.91,126.26,127.67,180.21,185.45,120.29,13.36
release,10,3,30,30,0,73.89,112.85,109.81,126.44,126.76,113.87,13.64
release,25,3,75,75,0,62.61,246.56,238.15,259.51,260.83,248.67,5.77
release,50,3,150,150,0,60.96,454.03,434.84,476.48,480.73,457.22,10.87
release,75,3,225,225,0,71.14,654.58,627.9,679.7,693.01,657.99,15.94
release,100,3,300,300,0,80.45,844.38,796.48,882.3,894.49,850.97,20.2
submit,10,3,30,30,0,80.66,98.34,95.95,107.04,107.15,95.86,10.84
submit,25,3,75,75,0,121.87,156.5,159.89,230.64,232.92,166.12,9.4
submit,50,3,150,150,0,142.17,232.64,236.72,330.98,335.54,237.76,11.11
submit,75,3,225,225,0,179.09,316.05,322.18,467.33,500.93,308.45,7.78
submit,100,3,300,300,0,219.87,420.37,419.52,603.63,651.82,397.78,21.86
