docCount,dataSizeBytes,diskSizeBytes,unixMs
64162,50391953,91537834,1787478082114
69312,54451255,102089130,1787478102168
74422,58476222,112714154,1787478122220
79532,62505395,123396522,1787478142275
84682,65630885,99299754,1787478162340
89642,68744964,72909226,1787478182397
95042,72986270,83375580,1787478202446
100452,77237847,94044586,1787478222505
102344,78724052,97907114,1787478242554
102348,78727409,97939882,1787478262602
102352,78730669,97964458,1787478282655
102356,78734380,97997226,1787478302708
102369,78745605,98062762,1787478322761
102376,78751891,98111914,1787478342809
102379,78755081,98136490,1787478362854
102533,78916225,98558378,1787478382906
102537,78920577,98582954,1787478402958
102541,78924840,98603434,1787478423008
102545,78929689,98632106,1787478443059
102552,78936679,98673066,1787478463111
102564,78948554,98730410,1787478483163
102568,78953532,98763178,1787478503211
102571,78956306,98787754,1787478523263
102725,79109379,99213738,1787478543319
102729,79113160,99238314,1787478563370
102733,79117052,99271082,1787478583422
102737,79120952,99303850,1787478603472
102750,79133083,99385770,1787478623525
102756,79139024,99434922,1787478643571
102759,79142210,99459498,1787478663622
104329,80417810,102814122,1787478683677
109139,84217753,112533930,1787478703734
113409,87591774,121295274,1787478723788
118789,91842640,132399530,1787478743841
124209,96128055,143724970,1787478763913
129699,100469570,155099562,1787478784024
135129,104765584,166658474,1787478804116
140529,109041040,178090410,1787478824208
145879,113273289,189272490,1787478844322
151199,117480462,200348074,1787478864416
156499,121672749,211366314,1787478884507
161789,125855830,222712234,1787478904585
166999,129973279,233689514,1787478924653
172189,134078838,244732330,1787478944750
177369,138173279,255844778,1787478964847
182559,142279084,267108778,1787478984938
187769,146399069,278475178,1787479005029
192849,150419920,289358250,1787479025126
197999,154492399,300425996,1787479045227
202909,158384418,310895018,1787479065295
202918,158391823,310919594,1787479085354
202921,158394917,310935978,1787479105404
202921,158394917,310935978,1787479125452
202924,158397568,310952362,1787479145504
202927,158400371,310968746,1787479165583
202935,158407186,311001514,1787479185631
202940,158412018,311034282,1787479205683
202945,158416701,311067050,1787479225757
203030,158505343,311349674,1787479245806
203098,158564662,311513514,1787479265863
203101,158567450,311529898,1787479285914
203105,158570719,311546282,1787479305965
203108,158573496,311562666,1787479326017
203108,158573496,311562666,1787479346068
203108,158573496,311562666,1787479366121
203108,158573496,311562666,1787479386173
203108,158573496,311562666,1787479406222
203108,158573496,311562666,1787479426274
203108,158573496,311562666,1787479446327
203185,158654552,311812522,1787479466374
203192,158660174,311828906,1787479486422
203192,158660174,311828906,1787479506472
203192,158660174,311828906,1787479526524
203211,158675254,311869866,1787479546573
203214,158678010,311886250,1787479566621
203218,158681535,311898538,1787479586669
203218,158681535,311898538,1787479606721
203221,158683968,311906730,1787479626774
203221,158683968,311906730,1787479646829
203221,158683968,311906730,1787479666881
203221,158683968,311906730,1787479686936
203221,158683968,311906730,1787479706989
203221,158683968,311906730,1787479727037
203260,158722730,312025514,1787479747118
