test_id,run_id,label,started_at_utc,successful_tx,failed_tx,observed_send_rate_tps,throughput_tps,latency_min_s,latency_avg_s,latency_max_s
read-performance,2026-08-24T09-21-50-774Z_caliper_read,read-measurement-10-tps,2026-08-24T09:21:50.776Z,1202.0,0.0,10.0,10.0,0.0,0.01,0.04
write-performance,2026-08-24T09-24-35-112Z_caliper_write,write-measurement-5-tps,2026-08-24T09:24:35.114Z,602.0,0.0,5.0,4.9,0.05,0.9,2.09
latency-users-1,2026-08-24T09-37-24-587Z_caliper_latency-users-1,search-users-1,2026-08-24T09:37:24.589Z,6.0,0.0,1.2,1.1,0.45,0.46,0.49
latency-users-2,2026-08-24T09-37-36-885Z_caliper_latency-users-2,search-users-2,2026-08-24T09:37:36.887Z,12.0,0.0,2.4,2.2,0.45,0.47,0.49
latency-users-4,2026-08-24T09-37-49-241Z_caliper_latency-users-4,search-users-4,2026-08-24T09:37:49.243Z,24.0,0.0,4.8,4.1,0.85,0.9,0.94
latency-users-1,2026-08-24T09-38-39-449Z_caliper_latency-users-1,search-users-1,2026-08-24T09:38:39.451Z,6.0,0.0,1.2,1.2,0.01,0.02,0.05
latency-users-2,2026-08-24T09-38-51-376Z_caliper_latency-users-2,search-users-2,2026-08-24T09:38:51.379Z,12.0,0.0,2.4,2.4,0.01,0.02,0.05
latency-users-4,2026-08-24T09-39-03-331Z_caliper_latency-users-4,search-users-4,2026-08-24T09:39:03.334Z,24.0,0.0,4.8,4.8,0.01,0.02,0.06
latency-users-8,2026-08-24T09-39-15-291Z_caliper_latency-users-8,search-users-8,2026-08-24T09:39:15.293Z,48.0,0.0,9.6,9.5,0.02,0.03,0.07
increasing-load,2026-08-24T09-39-27-274Z_caliper_latency-write-tps,write-tps-1,2026-08-24T09:39:27.277Z,12.0,0.0,1.5,1.2,2.06,2.11,2.15
increasing-load,2026-08-24T09-39-27-274Z_caliper_latency-write-tps,write-tps-2,2026-08-24T09:39:27.277Z,16.0,0.0,2.7,2.6,0.1,1.1,2.1
increasing-load,2026-08-24T09-39-27-274Z_caliper_latency-write-tps,write-tps-5,2026-08-24T09:39:27.277Z,32.0,0.0,5.7,4.2,0.1,1.03,2.1
increasing-load,2026-08-24T09-39-27-274Z_caliper_latency-write-tps,write-tps-10,2026-08-24T09:39:27.277Z,56.0,0.0,10.8,8.1,0.06,0.65,2.12
latency-clients-1,2026-08-24T09-48-33-119Z_caliper_latency-clients-1,clients-1-read,2026-08-24T09:48:33.122Z,46.0,0.0,1.0,1.0,0.01,0.01,0.02
latency-clients-2,2026-08-24T09-49-46-253Z_caliper_latency-clients-2,clients-2-read,2026-08-24T09:49:46.256Z,92.0,0.0,2.0,2.0,0.01,0.01,0.02
latency-clients-4,2026-08-24T09-50-59-422Z_caliper_latency-clients-4,clients-4-read,2026-08-24T09:50:59.425Z,184.0,0.0,4.1,4.1,0.01,0.02,0.04
latency-clients-8,2026-08-24T09-52-12-580Z_caliper_latency-clients-8,clients-8-read,2026-08-24T09:52:12.584Z,368.0,0.0,8.2,8.2,0.01,0.03,0.04
diagnostic-write-verified,2026-08-24T09-57-03-955Z_caliper_write-verifier-check,verified-write-diagnostic,2026-08-24T09:57:03.958Z,6.0,0.0,1.2,1.2,0.07,1.09,2.12
latency-clients-1,2026-08-24T09-57-36-116Z_caliper_latency-clients-1,clients-1-read,2026-08-24T09:57:36.120Z,46.0,0.0,1.0,1.0,0.0,0.01,0.02
latency-clients-2,2026-08-24T09-58-49-262Z_caliper_latency-clients-2,clients-2-read,2026-08-24T09:58:49.265Z,92.0,0.0,2.0,2.0,0.01,0.01,0.03
latency-clients-4,2026-08-24T10-00-02-406Z_caliper_latency-clients-4,clients-4-read,2026-08-24T10:00:02.409Z,184.0,0.0,4.1,4.1,0.0,0.02,0.03
latency-clients-8,2026-08-24T10-01-15-573Z_caliper_latency-clients-8,clients-8-read,2026-08-24T10:01:15.576Z,368.0,0.0,8.2,8.2,0.01,0.02,0.04
increasing-load,2026-08-24T10-02-28-804Z_caliper_latency-write-tps,write-tps-1,2026-08-24T10:02:28.807Z,52.0,0.0,1.1,1.0,2.07,2.1,2.12
increasing-load,2026-08-24T10-02-28-804Z_caliper_latency-write-tps,write-tps-2,2026-08-24T10:02:28.807Z,96.0,0.0,2.1,2.1,0.1,1.35,2.11
increasing-load,2026-08-24T10-02-28-804Z_caliper_latency-write-tps,write-tps-5,2026-08-24T10:02:28.807Z,232.0,0.0,5.1,4.9,0.09,0.92,2.1
increasing-load,2026-08-24T10-02-28-804Z_caliper_latency-write-tps,write-tps-10,2026-08-24T10:02:28.807Z,456.0,0.0,10.1,9.7,0.07,0.52,2.12
increasing-load,2026-08-24T10-02-28-804Z_caliper_latency-write-tps,write-tps-20,2026-08-24T10:02:28.807Z,904.0,0.0,20.1,19.2,0.06,0.3,2.06
latency-query-count,2026-08-24T15-34-51-409Z_caliper_latency-query-count,query-count-1,2026-08-24T15:34:51.412Z,48.0,0.0,1.0,1.0,0.69,0.72,0.74
latency-query-count,2026-08-24T15-34-51-409Z_caliper_latency-query-count,query-count-2,2026-08-24T15:34:51.412Z,48.0,0.0,1.0,1.0,0.68,0.73,0.77
latency-query-count,2026-08-24T15-34-51-409Z_caliper_latency-query-count,query-count-3,2026-08-24T15:34:51.412Z,48.0,0.0,1.0,1.0,0.7,0.72,0.75
