set,metric,untuned-qwen3-14b
test-adversarial,examples,389
test-adversarial,schema_valid_rate,0.856041
test-adversarial,decision_accuracy,0.564565
test-adversarial,balanced_accuracy,0.531035
test-adversarial,macro_f1,0.429558
test-adversarial,allow_precision,0.764706
test-adversarial,allow_recall,0.084416
test-adversarial,deny_precision,0.553797
test-adversarial,deny_recall,0.977654
test-adversarial,false_allow_count,4
test-adversarial,false_allow_rate,0.022346
test-adversarial,false_deny_count,141
test-adversarial,false_deny_rate,0.915584
test-adversarial,reason_code_accuracy,0.264264
test-adversarial,policy_ref_accuracy,0.183183
test-adversarial,decision_and_reason_accuracy,0.264264
test-adversarial,fully_correct_rate,0
test-adversarial,latency_median_ms,8488.8
test-adversarial,latency_p95_ms,11793.5
test-adversarial,latency_p99_ms,19988.5
test-decision-balanced,examples,600
test-decision-balanced,schema_valid_rate,0.923333
test-decision-balanced,decision_accuracy,0.606498
test-decision-balanced,balanced_accuracy,0.602737
test-decision-balanced,macro_f1,0.550197
test-decision-balanced,allow_precision,0.833333
test-decision-balanced,allow_recall,0.255474
test-decision-balanced,deny_precision,0.565957
test-decision-balanced,deny_recall,0.95
test-decision-balanced,false_allow_count,14
test-decision-balanced,false_allow_rate,0.05
test-decision-balanced,false_deny_count,204
test-decision-balanced,false_deny_rate,0.744526
test-decision-balanced,reason_code_accuracy,0.366426
test-decision-balanced,policy_ref_accuracy,0.234657
test-decision-balanced,decision_and_reason_accuracy,0.366426
test-decision-balanced,fully_correct_rate,0
test-decision-balanced,latency_median_ms,7469.3
test-decision-balanced,latency_p95_ms,9488.5
test-decision-balanced,latency_p99_ms,11609.5
test-multi-rule,examples,370
test-multi-rule,schema_valid_rate,0.951351
test-multi-rule,decision_accuracy,1
test-multi-rule,balanced_accuracy,
test-multi-rule,macro_f1,
test-multi-rule,allow_precision,
test-multi-rule,allow_recall,
test-multi-rule,deny_precision,1
test-multi-rule,deny_recall,1
test-multi-rule,false_allow_count,0
test-multi-rule,false_allow_rate,0
test-multi-rule,false_deny_count,0
test-multi-rule,false_deny_rate,
test-multi-rule,reason_code_accuracy,0.542614
test-multi-rule,policy_ref_accuracy,0.011364
test-multi-rule,decision_and_reason_accuracy,0.542614
test-multi-rule,fully_correct_rate,0
test-multi-rule,latency_median_ms,8383
test-multi-rule,latency_p95_ms,10287.6
test-multi-rule,latency_p99_ms,11494.4
test-ood-paraphrase,examples,400
test-ood-paraphrase,schema_valid_rate,0.9325
test-ood-paraphrase,decision_accuracy,0.643432
test-ood-paraphrase,balanced_accuracy,0.634539
test-ood-paraphrase,macro_f1,0.620334
test-ood-paraphrase,allow_precision,0.72549
test-ood-paraphrase,allow_recall,0.413408
test-ood-paraphrase,deny_precision,0.612546
test-ood-paraphrase,deny_recall,0.85567
test-ood-paraphrase,false_allow_count,28
test-ood-paraphrase,false_allow_rate,0.14433
test-ood-paraphrase,false_deny_count,105
test-ood-paraphrase,false_deny_rate,0.586592
test-ood-paraphrase,reason_code_accuracy,0.436997
test-ood-paraphrase,policy_ref_accuracy,0.340483
test-ood-paraphrase,decision_and_reason_accuracy,0.436997
test-ood-paraphrase,fully_correct_rate,0
test-ood-paraphrase,latency_median_ms,9261.1
test-ood-paraphrase,latency_p95_ms,11487.9
test-ood-paraphrase,latency_p99_ms,13180.8
test-reason-balanced,examples,540
test-reason-balanced,schema_valid_rate,0.942593
test-reason-balanced,decision_accuracy,0.880157
test-reason-balanced,balanced_accuracy,0.597257
test-reason-balanced,macro_f1,0.616665
test-reason-balanced,allow_precision,0.40625
test-reason-balanced,allow_recall,0.236364
test-reason-balanced,deny_precision,0.91195
test-reason-balanced,deny_recall,0.95815
test-reason-balanced,false_allow_count,19
test-reason-balanced,false_allow_rate,0.04185
test-reason-balanced,false_deny_count,42
test-reason-balanced,false_deny_rate,0.763636
test-reason-balanced,reason_code_accuracy,0.479371
test-reason-balanced,policy_ref_accuracy,0.239686
test-reason-balanced,decision_and_reason_accuracy,0.479371
test-reason-balanced,fully_correct_rate,0
test-reason-balanced,latency_median_ms,7164.8
test-reason-balanced,latency_p95_ms,9147
test-reason-balanced,latency_p99_ms,10212.2
validation-balanced,examples,400
validation-balanced,schema_valid_rate,0.925
validation-balanced,decision_accuracy,0.581081
validation-balanced,balanced_accuracy,0.576912
validation-balanced,macro_f1,0.50507
validation-balanced,allow_precision,0.833333
validation-balanced,allow_recall,0.191257
validation-balanced,deny_precision,0.54878
validation-balanced,deny_recall,0.962567
validation-balanced,false_allow_count,7
validation-balanced,false_allow_rate,0.037433
validation-balanced,false_deny_count,148
validation-balanced,false_deny_rate,0.808743
validation-balanced,reason_code_accuracy,0.359459
validation-balanced,policy_ref_accuracy,0.22973
validation-balanced,decision_and_reason_accuracy,0.359459
validation-balanced,fully_correct_rate,0
validation-balanced,latency_median_ms,7940.6
validation-balanced,latency_p95_ms,13376.7
validation-balanced,latency_p99_ms,20365.3
