variant,omittedDimension,llmInvocations,dynamicPolicyMatches,correctAutomaticGrants,falseAutomaticGrants,safeNearMissRate
"omit-subject.username","subject.username",21,6,5,1,0.9523809523809523
"omit-subject.mspId","subject.mspId",21,6,5,1,0.9523809523809523
"omit-subject.organization","subject.organization",21,6,5,1,0.9523809523809523
"omit-subject.role","subject.role",21,6,5,1,0.9523809523809523
"omit-subject.rank","subject.rank",21,6,5,1,0.9523809523809523
"omit-subject.station","subject.station",21,6,5,1,0.9523809523809523
"omit-subject.jurisdiction","subject.jurisdiction",21,6,5,1,0.9523809523809523
"omit-subject.clearance","subject.clearance",21,6,5,1,0.9523809523809523
"omit-subject.credentialStatus","subject.credentialStatus",21,6,5,1,0.9523809523809523
"omit-subject.assignedToRequestedCase","subject.assignedToRequestedCase",21,6,5,1,0.9523809523809523
"omit-request.action","request.action",21,6,5,1,0.9523809523809523
"omit-request.purpose","request.purpose",21,6,5,1,0.9523809523809523
"omit-record.recordType","record.recordType",21,6,5,1,0.9523809523809523
"omit-record.sensitivityLevel","record.sensitivityLevel",21,6,5,1,0.9523809523809523
"omit-record.jurisdiction","record.jurisdiction",21,6,5,1,0.9523809523809523
"omit-record.owningAgency","record.owningAgency",21,6,5,1,0.9523809523809523
"omit-record.owningStation","record.owningStation",21,6,5,1,0.9523809523809523
"omit-record.sealed","record.sealed",21,6,5,1,0.9523809523809523
"omit-record.juvenileFlag","record.juvenileFlag",21,6,5,1,0.9523809523809523
"omit-record.witnessFlag","record.witnessFlag",21,6,5,1,0.9523809523809523
"omit-record.victimProtectionFlag","record.victimProtectionFlag",21,6,5,1,0.9523809523809523
