seed,repeats,siblings_per_case,requests,distinct_records,design,model_invocations,auditor_reviews,review_savings_rate,automatic_grants,grants_on_approved_record,grants_on_a_different_record,mean_records_per_approval,max_records_per_approval
20260912,0,0,60,60,no-reuse,60,60,0,0,0,0,0,0
20260912,0,0,60,60,exact-record,60,60,0,0,0,0,1,1
20260912,0,0,60,60,property-fingerprint,60,60,0,0,0,0,1,1
20260912,0,1,120,120,no-reuse,120,120,0,0,0,0,0,0
20260912,0,1,120,120,exact-record,120,120,0,0,0,0,1,1
20260912,0,1,120,120,property-fingerprint,101,101,0.158333,19,0,19,2,2
20260912,0,2,180,180,no-reuse,180,180,0,0,0,0,0,0
20260912,0,2,180,180,exact-record,180,180,0,0,0,0,1,1
20260912,0,2,180,180,property-fingerprint,146,146,0.188889,34,0,34,3,3
20260912,0,4,300,300,no-reuse,300,300,0,0,0,0,0,0
20260912,0,4,300,300,exact-record,300,300,0,0,0,0,1,1
20260912,0,4,300,300,property-fingerprint,232,232,0.226667,68,0,68,5,5
20260912,1,0,120,60,no-reuse,120,120,0,0,0,0,0,0
20260912,1,0,120,60,exact-record,101,101,0.158333,19,19,0,1,1
20260912,1,0,120,60,property-fingerprint,101,101,0.158333,19,19,0,1,1
20260912,1,1,240,120,no-reuse,240,240,0,0,0,0,0,0
20260912,1,1,240,120,exact-record,210,210,0.125,30,30,0,1,1
20260912,1,1,240,120,property-fingerprint,195,195,0.1875,45,15,30,2,2
20260912,1,2,360,180,no-reuse,360,360,0,0,0,0,0,0
20260912,1,2,360,180,exact-record,312,312,0.133333,48,48,0,1,1
20260912,1,2,360,180,property-fingerprint,280,280,0.222222,80,16,64,3,3
20260912,1,4,600,300,no-reuse,600,600,0,0,0,0,0,0
20260912,1,4,600,300,exact-record,505,505,0.158333,95,95,0,1,1
20260912,1,4,600,300,property-fingerprint,429,429,0.285,171,19,152,5,5
20260912,3,0,240,60,no-reuse,240,240,0,0,0,0,0,0
20260912,3,0,240,60,exact-record,195,195,0.1875,45,45,0,1,1
20260912,3,0,240,60,property-fingerprint,195,195,0.1875,45,45,0,1,1
20260912,3,1,480,120,no-reuse,480,480,0,0,0,0,0,0
20260912,3,1,480,120,exact-record,372,372,0.225,108,108,0,1,1
20260912,3,1,480,120,property-fingerprint,354,354,0.2625,126,54,72,2,2
20260912,3,2,720,180,no-reuse,720,720,0,0,0,0,0,0
20260912,3,2,720,180,exact-record,549,549,0.2375,171,171,0,1,1
20260912,3,2,720,180,property-fingerprint,511,511,0.290278,209,57,152,3,3
20260912,3,4,1200,300,no-reuse,1200,1200,0,0,0,0,0,0
20260912,3,4,1200,300,exact-record,915,915,0.2375,285,285,0,1,1
20260912,3,4,1200,300,property-fingerprint,839,839,0.300833,361,57,304,5,5
20260912,7,0,480,60,no-reuse,480,480,0,0,0,0,0,0
20260912,7,0,480,60,exact-record,354,354,0.2625,126,126,0,1,1
20260912,7,0,480,60,property-fingerprint,354,354,0.2625,126,126,0,1,1
20260912,7,1,960,120,no-reuse,960,960,0,0,0,0,0,0
20260912,7,1,960,120,exact-record,736,736,0.233333,224,224,0,1,1
20260912,7,1,960,120,property-fingerprint,720,720,0.25,240,112,128,2,2
20260912,7,2,1440,180,no-reuse,1440,1440,0,0,0,0,0,0
20260912,7,2,1440,180,exact-record,1146,1146,0.204167,294,294,0,1,1
20260912,7,2,1440,180,property-fingerprint,1118,1118,0.223611,322,98,224,3,3
20260912,7,4,2400,300,no-reuse,2400,2400,0,0,0,0,0,0
20260912,7,4,2400,300,exact-record,1805,1805,0.247917,595,595,0,1,1
20260912,7,4,2400,300,property-fingerprint,1737,1737,0.27625,663,119,544,5,5
