operation,repetition,concurrentSessions,attempted,successful,failed,minMs,p50Ms,meanMs,p95Ms,maxMs,batchWallClockMs,throughputRps
search,1,10,10,10,0,14.18,17.31,17.91,21.56,21.56,22.35,447.41
search,1,25,25,25,0,55.75,92.45,83.35,102.81,104.95,106.71,234.28
search,1,50,50,50,0,36.23,120.78,111.14,134.02,135.12,143.31,348.9
search,1,75,75,75,0,48.2,149.49,142.25,174.21,176.81,186.18,402.83
search,1,100,100,100,0,38.7,120.8,118.74,140.87,144.29,156.8,637.76
search,2,10,10,10,0,40.15,53.66,50.99,60.37,60.37,61.31,163.1
search,2,25,25,25,0,51.1,78.25,75.91,92.64,93.48,97.61,256.13
search,2,50,50,50,0,30.3,103.59,99.65,128.65,128.97,136.59,366.05
search,2,75,75,75,0,44.65,111.7,105.38,138,145.22,154.31,486.05
search,2,100,100,100,0,46.44,128.11,115.3,147.31,149.28,161.27,620.09
search,3,10,10,10,0,40.69,54.77,50.88,57.69,57.69,60.62,164.96
search,3,25,25,25,0,29.17,77.95,72.86,85.63,87.74,89.14,280.46
search,3,50,50,50,0,29.63,111.89,101.79,124.17,128.22,131.62,379.87
search,3,75,75,75,0,43,123.73,111.19,153.44,157.01,165.12,454.22
search,3,100,100,100,0,51.75,125.41,120.19,160.56,163.91,179.42,557.34
release,1,10,10,10,0,39.13,47.19,46.01,49.57,49.57,54.11,184.81
release,1,25,25,25,0,31.07,71.06,68.4,75.76,76.6,81.06,308.43
release,1,50,50,50,0,30.76,105.2,99.85,118.37,119.92,126.55,395.1
release,1,75,75,75,0,41.04,140.55,133.29,156.75,158.75,166.58,450.25
release,1,100,100,100,0,48.95,157.22,138.53,182.17,188.19,195.43,511.7
release,2,10,10,10,0,36.75,49.86,49.45,55.11,55.11,57.19,174.85
release,2,25,25,25,0,29.55,90.01,86.04,96.02,96.32,98.46,253.91
release,2,50,50,50,0,28.06,98.81,95.38,109.84,111.48,114.73,435.8
release,2,75,75,75,0,41.97,112.04,99.24,127.5,128.52,135.09,555.2
release,2,100,100,100,0,53.08,154.56,139.02,178.97,185.26,192.06,520.68
release,3,10,10,10,0,42.12,55.84,55.31,61.7,61.7,64.27,155.59
release,3,25,25,25,0,28.12,81.23,78.2,87.3,87.97,90.98,274.79
release,3,50,50,50,0,28.44,99.29,95.92,112.39,113.44,118.3,422.67
release,3,75,75,75,0,40.27,121.15,113.93,133.1,134.77,144.9,517.59
release,3,100,100,100,0,53.17,151.3,140.26,182.08,183.95,197.99,505.06
submit,1,10,10,10,0,89.28,129.59,114.73,131.77,131.77,135.3,73.91
submit,1,25,25,25,0,112.48,149.75,157.39,180.19,216.7,220.29,113.48
submit,1,50,50,50,0,141.47,271.74,253.6,341.63,343.58,346.92,144.13
submit,1,75,75,75,0,186.22,316.43,315.02,417.73,442.42,449.88,166.71
submit,1,100,100,100,0,194.22,369.49,372.44,537.24,538.55,546.52,182.97
submit,2,10,10,10,0,97.23,137.26,123.53,142.48,142.48,144.97,68.98
submit,2,25,25,25,0,112.03,151.27,158.1,181.04,216.88,220.28,113.49
submit,2,50,50,50,0,150.1,260.14,246.45,326.77,328.47,332.7,150.28
submit,2,75,75,75,0,190.45,335.08,327.78,473.68,475.73,480.43,156.11
submit,2,100,100,100,0,204.36,374.4,378.22,535.3,540.05,546.42,183.01
submit,3,10,10,10,0,74.07,113.66,99.57,118.53,118.53,118.89,84.11
submit,3,25,25,25,0,121.09,151.57,158.24,179.59,204.17,208,120.19
submit,3,50,50,50,0,125.26,235.63,223.68,311.72,312.54,318.41,157.03
submit,3,75,75,75,0,175.66,340.21,327.05,478.98,482.36,486.89,154.04
submit,3,100,100,100,0,270.55,457.48,458.87,619.32,624.71,633.03,157.97
