operation,repetition,concurrentUsers,distinctUsers,distinctRecords,attempted,successful,failed,minMs,p50Ms,meanMs,p95Ms,maxMs,batchWallClockMs,throughputRps
release-per-user-record,1,10,10,10,10,10,0,32.04,34.6,34.89,38.45,38.45,39.65,252.23
release-per-user-record,1,25,25,25,25,25,0,53.06,89.27,83.02,96.52,97.84,101.52,246.25
release-per-user-record,1,50,50,50,50,50,0,28.02,111.1,106.91,126.19,127.24,131.93,378.98
release-per-user-record,1,75,75,75,75,75,0,40.25,141.23,134.12,157.63,162.65,165.41,453.43
release-per-user-record,1,100,100,100,100,100,0,47.47,162.43,150.35,181.87,184.27,187.41,533.58
release-per-user-record,2,10,10,10,10,10,0,39.39,57.85,55.82,60.36,60.36,63.27,158.05
release-per-user-record,2,25,25,25,25,25,0,48.39,76.36,75.42,82.2,82.97,88.65,282.02
release-per-user-record,2,50,50,50,50,50,0,55.5,120.12,112.91,129.73,130.76,132.71,376.78
release-per-user-record,2,75,75,75,75,75,0,25.44,145.94,137.8,160.82,161.32,163.71,458.12
release-per-user-record,2,100,100,100,100,100,0,39.57,154.67,153.07,180.73,184.57,189.69,527.18
release-per-user-record,3,10,10,10,10,10,0,39.96,54.92,54.28,58.76,58.76,59.87,167.03
release-per-user-record,3,25,25,25,25,25,0,14.24,41.99,40.42,48.36,50.16,53.5,467.28
release-per-user-record,3,50,50,50,50,50,0,12.45,80.93,77.02,90.4,92.3,93.68,533.74
release-per-user-record,3,75,75,75,75,75,0,28.73,123.24,119.67,139.5,140.4,144.5,519.03
release-per-user-record,3,100,100,100,100,100,0,34.5,153.85,132.14,181.95,187.71,193.05,517.99
