operation,repetition,concurrentUsers,distinctUsers,attempted,successful,failed,minMs,p50Ms,meanMs,p95Ms,maxMs,batchWallClockMs,throughputRps
search,1,10,10,10,10,0,44.99,54.24,52.73,59.35,59.35,60.54,165.19
search,1,25,25,25,25,0,40.77,67.83,64.09,80.21,82.03,83.41,299.74
search,1,50,50,50,50,0,26.32,110.09,96.75,121.82,122.78,128.04,390.5
search,1,75,75,75,75,0,42.17,132.21,123.86,163.3,164.81,170.63,439.54
search,1,100,100,100,100,0,32.91,104.94,116.72,182.79,185.45,193.26,517.45
search,2,10,10,10,10,0,35.12,50.18,46.19,54.23,54.23,55.15,181.33
search,2,25,25,25,25,0,27.25,84.96,78.97,91.13,91.94,94.61,264.25
search,2,50,50,50,50,0,25.05,109.28,99.71,122.88,123.48,125.77,397.55
search,2,75,75,75,75,0,40.63,155.44,136.93,175.76,178.87,181.74,412.68
search,2,100,100,100,100,0,51.51,129.29,134.54,176.23,179.48,185.14,540.13
search,3,10,10,10,10,0,38.88,53.84,50.66,58.93,58.93,59.52,168.02
search,3,25,25,25,25,0,24.04,79.22,72.87,89.16,90.19,91.31,273.79
search,3,50,50,50,50,0,27.04,107.44,102.15,126.35,128.37,130.2,384.02
search,3,75,75,75,75,0,34.88,134.28,121.06,154.18,155.09,158.62,472.84
search,3,100,100,100,100,0,53.16,126.65,131.76,178.28,180.78,187.22,534.12
release,1,10,10,10,10,0,92.5,123.97,120.33,126.76,126.76,128.12,78.05
release,1,25,25,25,25,0,75.93,244.2,236,248.2,249.85,250.5,99.8
release,1,50,50,50,50,0,60.96,458.83,434.84,471.11,471.7,472.71,105.77
release,1,75,75,75,75,0,71.14,652.36,630.36,664.7,665.76,668.5,112.19
release,1,100,100,100,100,0,80.45,872.02,806.75,883.28,894.49,900.49,111.05
release,2,10,10,10,10,0,76.93,119.28,113.73,121.81,121.81,123.18,81.18
release,2,25,25,25,25,0,62.61,255.18,240.91,260.63,260.83,262.84,95.12
release,2,50,50,50,50,0,66.21,445.64,426.44,455.65,457.37,459.99,108.7
release,2,75,75,75,75,0,76.17,645.64,610.92,662.07,664.27,666.25,112.57
release,2,100,100,100,100,0,87.13,831.74,774.57,846.82,847.45,851.62,117.42
release,3,10,10,10,10,0,73.89,98.36,95.36,100.87,100.87,101.84,98.19
release,3,25,25,25,25,0,66.3,246.63,237.53,249.33,249.42,250.54,99.78
release,3,50,50,50,50,0,69.93,467.2,443.24,478.84,480.73,483.86,103.34
release,3,75,75,75,75,0,86.03,675.98,642.4,690.52,693.01,694.97,107.92
release,3,100,100,100,100,0,96.97,849.15,808.11,867.84,869.69,871.36,114.76
submit,1,10,10,10,10,0,104.21,105.24,105.59,107.15,107.15,108.26,92.37
submit,1,25,25,25,25,0,124.3,171.52,166.6,231.57,232.92,234.49,106.61
submit,1,50,50,50,50,0,164.86,250.59,248.16,331.31,331.73,333.84,149.77
submit,1,75,75,75,75,0,184.49,303.48,312.9,449.5,452.79,454.7,164.95
submit,1,100,100,100,100,0,247.72,422.73,445.55,646.6,651.82,654.36,152.82
submit,2,10,10,10,10,0,96.37,98.34,98.37,99.74,99.74,100.41,99.59
submit,2,25,25,25,25,0,121.87,155.26,149.62,188.56,188.63,189.92,131.64
submit,2,50,50,50,50,0,153.36,231.68,232.87,308.29,309.56,310.75,160.9
submit,2,75,75,75,75,0,194.71,317.42,337,500.23,500.93,504.54,148.65
submit,2,100,100,100,100,0,219.87,381.99,393.06,564.31,609.51,612.75,163.2
submit,3,10,10,10,10,0,80.66,83.99,83.89,85.98,85.98,86.22,115.98
submit,3,25,25,25,25,0,132.66,171.57,163.46,203.27,203.79,205.73,121.52
submit,3,50,50,50,50,0,142.17,231.02,229.12,308.08,335.54,337.35,148.22
submit,3,75,75,75,75,0,179.09,304.46,316.63,451.02,479.63,481.73,155.69
submit,3,100,100,100,100,0,235.6,388.61,419.96,601.99,636.81,640.82,156.05
